stk.v.6.0
ThetaPhiPattern		
AngleUnits   Degrees		
NumberOfPoints   4320		
PatternData		

15	-179	4.3977
30	-179	1.1314
45	-179	4.3563
60	-179	4.3138
75	-179	3.5512
90	-179	4.6631
105	-179	3.5512
120	-179	4.3138
135	-179	4.3563
150	-179	1.1314
165	-179	4.3977
180	-179	5.2427
15	-178	4.3768
30	-178	1.1621
45	-178	4.4005
60	-178	4.3587
75	-178	3.5814
90	-178	4.6734
105	-178	3.5814
120	-178	4.3587
135	-178	4.4005
150	-178	1.1621
165	-178	4.3768
180	-178	5.2427
15	-177	4.355
30	-177	1.1948
45	-177	4.4515
60	-177	4.2128
75	-177	3.6182
90	-177	4.6914
105	-177	3.6182
120	-177	4.2128
135	-177	4.4515
150	-177	1.1948
165	-177	4.355
180	-177	5.2427
15	-176	4.3323
30	-176	1.2291
45	-176	4.5086
60	-176	4.2765
75	-176	3.6618
90	-176	4.7185
105	-176	3.6618
120	-176	4.2765
135	-176	4.5086
150	-176	1.2291
165	-176	4.3323
180	-176	5.2427
15	-175	4.3089
30	-175	1.2649
45	-175	4.5713
60	-175	4.3504
75	-175	3.713
90	-175	4.7566
105	-175	3.713
120	-175	4.3504
135	-175	4.5713
150	-175	1.2649
165	-175	4.3089
180	-175	5.2427
15	-174	4.0849
30	-174	1.3015
45	-174	4.6385
60	-174	4.4348
75	-174	3.773
90	-174	4.8076
105	-174	3.773
120	-174	4.4348
135	-174	4.6385
150	-174	1.3015
165	-174	4.0849
180	-174	5.2427
15	-173	4.0606
30	-173	1.3388
45	-173	4.7092
60	-173	4.5304
75	-173	3.8435
90	-173	4.8728
105	-173	3.8435
120	-173	4.5304
135	-173	4.7092
150	-173	1.3388
165	-173	4.0606
180	-173	5.2427
15	-172	4.0362
30	-172	1.3765
45	-172	4.782
60	-172	4.6372
75	-172	3.927
90	-172	4.9529
105	-172	3.927
120	-172	4.6372
135	-172	4.782
150	-172	1.3765
165	-172	4.0362
180	-172	5.2427
15	-171	4.012
30	-171	1.4141
45	-171	4.8553
60	-171	4.755
75	-171	4.0262
90	-171	5.0462
105	-171	4.0262
120	-171	4.755
135	-171	4.8553
150	-171	1.4141
165	-171	4.012
180	-171	5.2427
15	-170	3.9882
30	-170	1.4517
45	-170	4.9275
60	-170	4.8822
75	-170	4.3428
90	-170	5.1493
105	-170	4.3428
120	-170	4.8822
135	-170	4.9275
150	-170	1.4517
165	-170	3.9882
180	-170	5.2427
15	-169	3.9652
30	-169	1.4895
45	-169	4.9972
60	-169	5.0163
75	-169	4.278
90	-169	5.2566
105	-169	4.278
120	-169	5.0163
135	-169	4.9972
150	-169	1.4895
165	-169	3.9652
180	-169	5.2427
15	-168	3.9431
30	-168	1.5279
45	-168	5.0632
60	-168	5.1529
75	-168	4.4292
90	-168	5.3611
105	-168	4.4292
120	-168	5.1529
135	-168	5.0632
150	-168	1.5279
165	-168	3.9431
180	-168	5.2427
15	-167	3.9223
30	-167	1.5676
45	-167	5.1256
